dataset_file,algorithm,total_abstracts,total_relevant,total_relevant_in_screening_set,training_size,training_relevant,training_prevalence_estimate,band_selected_by_estimate,selected_screening_cost,selected_recall,selected_all_keys_found,A_screening_cost,A_recall,A_all_keys_found,A_stopped_by_breakout,A_data_cut_met_without_all_keys,A_sensitivity_gain_from_keys,A_keys_missing_at_data_cut,B_screening_cost,B_recall,B_all_keys_found,B_stopped_by_breakout,B_data_cut_met_without_all_keys,B_sensitivity_gain_from_keys,B_keys_missing_at_data_cut,C_screening_cost,C_recall,C_all_keys_found,C_stopped_by_breakout,C_data_cut_met_without_all_keys,C_sensitivity_gain_from_keys,C_keys_missing_at_data_cut
Bourke_et_al_2022_training_57_seed2035_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.4987107864202836,1.0,True,0.4987107864202836,1.0,True,False,False,,0.0,0.3759131929522991,0.9746835443037974,True,False,False,,0.0,0.35614525139664804,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_58_seed2508_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,98,1,0.03,A,0.4975290073055436,1.0,True,0.4975290073055436,1.0,True,False,False,,0.0,0.3750537172324882,0.9746835443037974,True,False,False,,0.0,0.3552857756768371,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_59_seed9166_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.4979587451654491,1.0,True,0.4979587451654491,1.0,True,False,False,,0.0,0.37559088955737,0.9746835443037974,True,False,False,,0.0,0.35582294800171893,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_44_seed1209_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,99,1,0.02,A,0.4981736140954018,1.0,True,0.4981736140954018,1.0,True,False,False,,0.0,0.3774172754619682,0.9746835443037974,True,False,False,,0.0,0.35764933390631715,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_45_seed2054_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.5007520412548345,1.0,True,0.5007520412548345,1.0,True,False,False,,0.0,0.3794585302965191,0.9746835443037974,True,False,False,,0.0,0.35969058874086807,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_46_seed5195_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.4966695315857327,1.0,True,0.4966695315857327,1.0,True,False,False,,0.0,0.3795659647614955,0.9746835443037974,True,False,False,,0.0,0.3597980232058444,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_47_seed8593_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,99,1,0.02,A,0.49742157284056726,1.0,True,0.49742157284056726,1.0,True,False,False,,0.0,0.3765577997421573,0.9746835443037974,True,False,False,,0.0,0.3567898581865062,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_48_seed7373_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.4979587451654491,1.0,True,0.4979587451654491,1.0,True,False,False,,0.0,0.3760206274172755,0.9746835443037974,True,False,False,,0.0,0.3562526858616244,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_49_seed7633_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,98,1,0.03,A,0.4978513107004727,1.0,True,0.4978513107004727,1.0,True,False,False,,0.0,0.37730984099699183,0.9746835443037974,True,False,False,,0.0,0.3575418994413408,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_50_seed5645_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.49838848302535455,1.0,True,0.49838848302535455,1.0,True,False,False,,0.0,0.37612806188225184,0.9746835443037974,True,False,False,,0.0,0.35636012032660075,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_51_seed2103_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,97,1,0.04,A,0.4967769660507091,1.0,True,0.4967769660507091,1.0,True,False,False,,0.0,0.37634293081220455,0.9746835443037974,True,False,False,,0.0,0.3565749892565535,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_60_seed9743_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.5022561237645037,1.0,True,0.5022561237645037,1.0,True,False,False,,0.0,0.4158788139235067,0.9873417721518988,True,False,False,,0.0,0.3445423291792007,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_61_seed2654_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,97,1,0.04,A,0.49957026214009453,1.0,True,0.49957026214009453,1.0,True,False,False,,0.0,0.37516115169746456,0.9746835443037974,True,False,False,,0.0,0.3553932101418135,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_62_seed5287_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.5010743446497636,1.0,True,0.5010743446497636,1.0,True,False,False,,0.0,0.38085517834121185,0.9746835443037974,True,False,False,,0.0,0.3610872367855608,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_63_seed3695_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.4997851310700473,1.0,True,0.4997851310700473,1.0,True,False,False,,0.0,0.3762354963472282,0.9746835443037974,True,False,False,,0.0,0.35646755479157716,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_64_seed5670_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,98,1,0.03,A,0.49613235926085086,1.0,True,0.49613235926085086,1.0,True,False,False,,0.0,0.3758057584873227,0.9746835443037974,True,False,False,,0.0,0.3560378169316717,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_65_seed4654_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,98,1,0.03,A,0.49763644177051997,1.0,True,0.49763644177051997,1.0,True,False,False,,0.0,0.37537602062741726,0.9746835443037974,True,False,False,,0.0,0.3556080790717662,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_66_seed1293_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,127,1,0.007874015748031496,A,0.4987107864202836,1.0,True,0.4987107864202836,1.0,True,False,False,,0.0,0.3765577997421573,0.9746835443037974,True,False,False,,0.0,0.3567898581865062,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_67_seed4106_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.5,1.0,True,0.5,1.0,True,False,False,,0.0,0.3772024065320155,0.9746835443037974,True,False,False,,0.0,0.35743446497636444,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_68_seed3217_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.4963472281908036,1.0,True,0.4963472281908036,1.0,True,False,False,,0.0,0.3739793725827245,0.9746835443037974,True,False,False,,0.0,0.3542114310270735,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_69_seed4497_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.4982810485603782,1.0,True,0.4982810485603782,1.0,True,False,False,,0.0,0.3764503652771809,0.9746835443037974,True,False,False,,0.0,0.35668242372152986,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_70_seed2051_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,99,1,0.02,A,0.4973141383755909,1.0,True,0.4973141383755909,1.0,True,False,False,,0.0,0.3764503652771809,0.9746835443037974,True,False,False,,0.0,0.35668242372152986,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_71_seed8598_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,135,1,0.007407407407407408,A,0.5004297378599054,1.0,True,0.5004297378599054,1.0,True,False,False,,0.0,0.3809626128061882,0.9746835443037974,True,False,False,,0.0,0.3613021057155135,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_72_seed9511_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,96,1,0.05,A,0.5075204125483455,1.0,True,0.5075204125483455,1.0,True,False,False,,0.0,0.4187795444778685,0.9936708860759493,True,False,False,,0.0,0.3492694456381607,0.9810126582278481,True,False,False,,0
Bourke_et_al_2022_training_73_seed2763_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,99,1,0.02,A,0.4969918349806618,1.0,True,0.4969918349806618,1.0,True,False,False,,0.0,0.37537602062741726,0.9746835443037974,True,False,False,,0.0,0.3556080790717662,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_74_seed2527_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,292,1,0.003424657534246575,A,0.5097765363128491,1.0,True,0.5097765363128491,1.0,True,False,False,,0.0,0.3889127632144392,0.9746835443037974,True,False,False,,0.0,0.3695745595186936,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_75_seed2805_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.49709926944563815,1.0,True,0.49709926944563815,1.0,True,False,False,,0.0,0.3760206274172755,0.9746835443037974,True,False,False,,0.0,0.3562526858616244,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_84_seed497_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.4987107864202836,1.0,True,0.4987107864202836,1.0,True,False,False,,0.0,0.37881392350666093,0.9746835443037974,True,False,False,,0.0,0.3590459819510099,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_85_seed8160_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.4982810485603782,1.0,True,0.4982810485603782,1.0,True,False,False,,0.0,0.3765577997421573,0.9746835443037974,True,False,False,,0.0,0.3567898581865062,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_86_seed4746_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,96,1,0.05,A,0.4973141383755909,1.0,True,0.4973141383755909,1.0,True,False,False,,0.0,0.3739793725827245,0.9746835443037974,True,False,False,,0.0,0.3542114310270735,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_87_seed8962_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.4984959174903309,1.0,True,0.4984959174903309,1.0,True,False,False,,0.0,0.38085517834121185,0.9746835443037974,True,False,False,,0.0,0.3610872367855608,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_88_seed7913_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,99,1,0.02,A,0.4981736140954018,1.0,True,0.4981736140954018,1.0,True,False,False,,0.0,0.3747314138375591,0.9746835443037974,True,False,False,,0.0,0.35496347228190805,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_89_seed9997_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.5056940266437473,1.0,True,0.5056940266437473,1.0,True,False,False,,0.0,0.3799957026214009,0.9746835443037974,True,False,False,,0.0,0.3602277610657499,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_90_seed9531_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,224,1,0.004464285714285714,A,0.5116029222174474,1.0,True,0.5116029222174474,1.0,True,False,False,,0.0,0.42984529437043406,0.9936708860759493,True,False,False,,0.0,0.3610872367855608,0.9810126582278481,True,False,False,,0
Bourke_et_al_2022_training_91_seed4874_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,107,1,0.009345794392523364,A,0.5006446067898582,1.0,True,0.5006446067898582,1.0,True,False,False,,0.0,0.3789213579716373,0.9746835443037974,True,False,False,,0.0,0.35915341641598625,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_76_seed5532_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,150,1,0.006666666666666667,A,0.50118177911474,1.0,True,0.50118177911474,1.0,True,False,False,,0.0,0.38085517834121185,0.9746835443037974,True,False,False,,0.0,0.36119467125053717,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_77_seed675_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,157,1,0.006369426751592357,A,0.5008594757198109,1.0,True,0.5008594757198109,1.0,True,False,False,,0.0,0.38031800601633003,0.9746835443037974,True,False,False,,0.0,0.36065749892565535,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_78_seed465_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.49881822088526,1.0,True,0.49881822088526,1.0,True,False,False,,0.0,0.3774172754619682,0.9746835443037974,True,False,False,,0.0,0.35764933390631715,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_79_seed9202_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,97,1,0.04,A,0.49623979372582727,1.0,True,0.49623979372582727,1.0,True,False,False,,0.0,0.3743016759776536,0.9746835443037974,True,False,False,,0.0,0.3545337344220026,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_80_seed8680_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,98,1,0.03,A,0.4975290073055436,1.0,True,0.4975290073055436,1.0,True,False,False,,0.0,0.37537602062741726,0.9746835443037974,True,False,False,,0.0,0.3556080790717662,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_81_seed4337_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,99,1,0.02,A,0.49645466265578,1.0,True,0.49645466265578,1.0,True,False,False,,0.0,0.37612806188225184,0.9746835443037974,True,False,False,,0.0,0.35636012032660075,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_82_seed3454_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.49688440051568544,1.0,True,0.49688440051568544,1.0,True,False,False,,0.0,0.37677266867211,0.9746835443037974,True,False,False,,0.0,0.357004727116459,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_83_seed8415_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,97,1,0.04,A,0.4972067039106145,1.0,True,0.4972067039106145,1.0,True,False,False,,0.0,0.3749462827675118,0.9746835443037974,True,False,False,,0.0,0.35517834121186076,0.9746835443037974,True,False,False,,0
Dailey_and_Bergelson_2022_training_36_seed1146_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,99,1,0.02,A,0.5649038461538461,1.0,True,0.5649038461538461,1.0,True,False,False,,0.0,0.42748397435897434,0.9901477832512315,True,False,False,,0.0,0.3505608974358974,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_37_seed2687_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,97,1,0.04,A,0.49719551282051283,0.9950738916256158,True,0.49719551282051283,0.9950738916256158,True,False,False,,0.0,0.42688301282051283,0.9901477832512315,True,False,False,,0.0,0.34935897435897434,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_38_seed7630_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,98,1,0.03,A,0.5655048076923077,1.0,True,0.5655048076923077,1.0,True,False,False,,0.0,0.4282852564102564,0.9901477832512315,True,False,False,,0.0,0.3499599358974359,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_39_seed5023_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,105,1,0.009523809523809525,A,0.5715144230769231,1.0,True,0.5715144230769231,1.0,True,False,False,,0.0,0.43249198717948717,0.9901477832512315,True,False,False,,0.0,0.3501602564102564,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_40_seed2610_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,97,1,0.04,A,0.5697115384615384,1.0,True,0.5697115384615384,1.0,True,False,False,,0.0,0.4286858974358974,0.9901477832512315,True,False,False,,0.0,0.34915865384615385,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_41_seed1332_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,98,1,0.03,A,0.5655048076923077,1.0,True,0.5655048076923077,1.0,True,False,False,,0.0,0.42748397435897434,0.9901477832512315,True,False,False,,0.0,0.34615384615384615,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_42_seed3220_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,95,1,0.06,B,0.4310897435897436,0.9901477832512315,True,0.5689102564102564,1.0,True,False,False,,0.0,0.4310897435897436,0.9901477832512315,True,False,False,,0.0,0.34935897435897434,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_43_seed9621_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,99,1,0.02,A,0.5651041666666666,1.0,True,0.5651041666666666,1.0,True,False,False,,0.0,0.42888621794871795,0.9901477832512315,True,False,False,,0.0,0.3463541666666667,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_05_seed7988_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,99,1,0.02,A,0.5645032051282052,1.0,True,0.5645032051282052,1.0,True,False,False,,0.0,0.42588141025641024,0.9901477832512315,True,False,False,,0.0,0.3451522435897436,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_06_seed793_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,95,1,0.06,B,0.42888621794871795,0.9901477832512315,True,0.5683092948717948,1.0,True,False,False,,0.0,0.42888621794871795,0.9901477832512315,True,False,False,,0.0,0.34555288461538464,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_07_seed3227_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,99,1,0.02,A,0.5657051282051282,1.0,True,0.5657051282051282,1.0,True,False,False,,0.0,0.4270833333333333,0.9901477832512315,True,False,False,,0.0,0.34815705128205127,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_08_seed3058_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,95,1,0.06,B,0.4264823717948718,0.9901477832512315,True,0.5673076923076923,1.0,True,False,False,,0.0,0.4264823717948718,0.9901477832512315,True,False,False,,0.0,0.3473557692307692,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_09_seed8910_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,98,1,0.03,A,0.4987980769230769,0.9950738916256158,True,0.4987980769230769,0.9950738916256158,True,False,False,,0.0,0.42888621794871795,0.9901477832512315,True,False,False,,0.0,0.34915865384615385,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_100_seed9307_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,96,1,0.05,A,0.5681089743589743,1.0,True,0.5681089743589743,1.0,True,False,False,,0.0,0.42688301282051283,0.9901477832512315,True,False,False,,0.0,0.34935897435897434,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_10_seed8084_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,96,1,0.05,A,0.4989983974358974,0.9950738916256158,True,0.4989983974358974,0.9950738916256158,True,False,False,,0.0,0.42788461538461536,0.9901477832512315,True,False,False,,0.0,0.34815705128205127,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_11_seed2778_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,95,1,0.06,B,0.42748397435897434,0.9901477832512315,True,0.4979967948717949,0.9950738916256158,True,False,False,,0.0,0.42748397435897434,0.9901477832512315,True,False,False,,0.0,0.34815705128205127,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_52_seed4361_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,98,1,0.03,A,0.5,0.9950738916256158,True,0.5,0.9950738916256158,True,False,False,,0.0,0.429286858974359,0.9901477832512315,True,False,False,,0.0,0.3505608974358974,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_53_seed8212_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,96,1,0.05,A,0.5663060897435898,1.0,True,0.5663060897435898,1.0,True,False,False,,0.0,0.47996794871794873,0.9950738916256158,True,False,True,0.0049261083743842365,1.0,0.46033653846153844,0.9950738916256158,True,False,True,0.0049261083743842365,1
Dailey_and_Bergelson_2022_training_54_seed5806_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,92,1,0.09,B,0.429286858974359,0.9901477832512315,True,0.49919871794871795,0.9950738916256158,True,False,False,,0.0,0.429286858974359,0.9901477832512315,True,False,False,,0.0,0.34715544871794873,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_55_seed4612_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,97,1,0.04,A,0.4973958333333333,0.9950738916256158,True,0.4973958333333333,0.9950738916256158,True,False,False,,0.0,0.4284855769230769,0.9901477832512315,True,False,False,,0.0,0.3495592948717949,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_56_seed2456_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,94,1,0.07,B,0.4260817307692308,0.9901477832512315,True,0.5661057692307693,1.0,True,False,False,,0.0,0.4260817307692308,0.9901477832512315,True,False,False,,0.0,0.3479567307692308,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_57_seed3891_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,98,1,0.03,A,0.5661057692307693,1.0,True,0.5661057692307693,1.0,True,False,False,,0.0,0.4250801282051282,0.9901477832512315,True,False,False,,0.0,0.3469551282051282,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_58_seed6683_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,96,1,0.05,A,0.5667067307692307,1.0,True,0.5667067307692307,1.0,True,False,False,,0.0,0.4254807692307692,0.9901477832512315,True,False,False,,0.0,0.34755608974358976,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_59_seed137_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,97,1,0.04,A,0.5681089743589743,1.0,True,0.5681089743589743,1.0,True,False,False,,0.0,0.4286858974358974,0.9901477832512315,True,False,False,,0.0,0.34935897435897434,0.9802955665024631,True,False,False,,0
Bourke_et_al_2022_training_92_seed8771_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,97,1,0.04,A,0.4996776966050709,1.0,True,0.4996776966050709,1.0,True,False,False,,0.0,0.37784701332187365,0.9746835443037974,True,False,False,,0.0,0.3580790717662226,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_93_seed1196_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,99,1,0.02,A,0.49881822088526,1.0,True,0.49881822088526,1.0,True,False,False,,0.0,0.38031800601633003,0.9746835443037974,True,False,False,,0.0,0.360550064460679,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_94_seed982_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,98,1,0.03,A,0.49806617963042543,1.0,True,0.49806617963042543,1.0,True,False,False,,0.0,0.3792436613665664,0.9746835443037974,True,False,False,,0.0,0.35947571981091536,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_95_seed2590_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,133,1,0.007518796992481203,A,0.5009669101847872,1.0,True,0.5009669101847872,1.0,True,False,False,,0.0,0.3819295229909755,0.9746835443037974,True,False,False,,0.0,0.3622690159003008,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_96_seed7203_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,216,1,0.004629629629629629,A,0.5050494198538892,1.0,True,0.5050494198538892,1.0,True,False,False,,0.0,0.3828964331757628,0.9746835443037974,True,False,False,,0.0,0.36334336055006444,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_97_seed6810_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,100,1,0.01,A,0.4978513107004727,1.0,True,0.4978513107004727,1.0,True,False,False,,0.0,0.37688010313708636,0.9746835443037974,True,False,False,,0.0,0.35711216158143533,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_98_seed9262_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,99,1,0.02,A,0.49623979372582727,1.0,True,0.49623979372582727,1.0,True,False,False,,0.0,0.3739793725827245,0.9746835443037974,True,False,False,,0.0,0.3542114310270735,0.9746835443037974,True,False,False,,0
Bourke_et_al_2022_training_99_seed7610_LR_SBERT_complete_results_key1.csv,LR_SBERT,9308,158,157,144,1,0.006944444444444444,A,0.5007520412548345,1.0,True,0.5007520412548345,1.0,True,False,False,,0.0,0.3812849162011173,0.9746835443037974,True,False,False,,0.0,0.3615169746454663,0.9746835443037974,True,False,False,,0
Dailey_and_Bergelson_2022_training_20_seed3289_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,95,1,0.06,B,0.43369391025641024,0.9901477832512315,True,0.5687099358974359,1.0,True,False,False,,0.0,0.43369391025641024,0.9901477832512315,True,False,False,,0.0,0.35096153846153844,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_21_seed8484_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,98,1,0.03,A,0.5663060897435898,1.0,True,0.5663060897435898,1.0,True,False,False,,0.0,0.42988782051282054,0.9901477832512315,True,False,False,,0.0,0.34915865384615385,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_22_seed330_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,98,1,0.03,A,0.5677083333333334,1.0,True,0.5677083333333334,1.0,True,False,False,,0.0,0.4270833333333333,0.9901477832512315,True,False,False,,0.0,0.3463541666666667,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_23_seed372_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,96,1,0.05,A,0.5655048076923077,1.0,True,0.5655048076923077,1.0,True,False,False,,0.0,0.42728365384615385,0.9901477832512315,True,False,False,,0.0,0.34455128205128205,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_24_seed319_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,95,1,0.06,B,0.4266826923076923,0.9901477832512315,True,0.5657051282051282,1.0,True,False,False,,0.0,0.4266826923076923,0.9901477832512315,True,False,False,,0.0,0.3473557692307692,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_25_seed9713_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,97,1,0.04,A,0.5693108974358975,1.0,True,0.5693108974358975,1.0,True,False,False,,0.0,0.42748397435897434,0.9901477832512315,True,False,False,,0.0,0.3505608974358974,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_26_seed5846_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,99,1,0.02,A,0.563301282051282,1.0,True,0.563301282051282,1.0,True,False,False,,0.0,0.43048878205128205,0.9901477832512315,True,False,False,,0.0,0.3485576923076923,0.9802955665024631,True,False,False,,0
Dailey_and_Bergelson_2022_training_27_seed2729_LR_SBERT_complete_results_key1.csv,LR_SBERT,4992,203,202,95,1,0.06,B,0.4260817307692308,0.9901477832512315,True,0.49919871794871795,0.9950738916256158,True,False,False,,0.0,0.4260817307692308,0.9901477832512315,True,False,False,,0.0,0.351161858974359,0.9802955665024631,True,False,False,,0
