dataset_file,algorithm,total_abstracts,total_relevant,total_relevant_in_screening_set,training_size,training_relevant,training_prevalence_estimate,band_selected_by_estimate,selected_screening_cost,selected_recall,selected_all_keys_found,A_screening_cost,A_recall,A_all_keys_found,A_stopped_by_breakout,A_data_cut_met_without_all_keys,A_sensitivity_gain_from_keys,A_keys_missing_at_data_cut,B_screening_cost,B_recall,B_all_keys_found,B_stopped_by_breakout,B_data_cut_met_without_all_keys,B_sensitivity_gain_from_keys,B_keys_missing_at_data_cut,C_screening_cost,C_recall,C_all_keys_found,C_stopped_by_breakout,C_data_cut_met_without_all_keys,C_sensitivity_gain_from_keys,C_keys_missing_at_data_cut
25_Xuetal__2022__training_33_seed1558_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,87,1,0.14,C,0.5257954896509114,1.0,True,0.5647204201421069,1.0,True,False,False,,0.0,0.5452579548965091,1.0,True,False,False,,0.0,0.5257954896509114,1.0,True,False,False,,0
25_Xuetal__2022__training_34_seed5121_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,94,1,0.07,B,0.548347235094223,1.0,True,0.5678097003398208,1.0,True,False,False,,0.0,0.548347235094223,1.0,True,False,False,,0.0,0.5288847698486253,1.0,True,False,False,,0
25_Xuetal__2022__training_35_seed6993_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,97,1,0.04,A,0.5665739882607352,1.0,True,0.5665739882607352,1.0,True,False,False,,0.0,0.5471115230151374,1.0,True,False,False,,0.0,0.5279579857893111,1.0,True,False,False,,0
25_Xuetal__2022__training_36_seed8767_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,95,1,0.06,B,0.5517454433117084,1.0,True,0.5708989805375347,1.0,True,False,False,,0.0,0.5517454433117084,1.0,True,False,False,,0.0,0.5322829780661106,1.0,True,False,False,,0
25_Xuetal__2022__training_37_seed4177_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,92,1,0.09,B,0.5532900834105653,1.0,True,0.5727525486561631,1.0,True,False,False,,0.0,0.5532900834105653,1.0,True,False,False,,0.0,0.5338276181649676,1.0,True,False,False,,0
25_Xuetal__2022__training_38_seed6133_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,96,1,0.05,A,0.567191844300278,1.0,True,0.567191844300278,1.0,True,False,False,,0.0,0.5480383070744517,1.0,True,False,False,,0.0,0.5285758418288539,1.0,True,False,False,,0
25_Xuetal__2022__training_39_seed2501_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,96,1,0.05,A,0.5690454124189064,1.0,True,0.5690454124189064,1.0,True,False,False,,0.0,0.54989187519308,1.0,True,False,False,,0.0,0.4306456595613222,0.9679715302491103,True,False,False,,0
20_Täschneretal__2023__training_20_seed1903_LR_SBERT_complete_results_key1.csv,LR_SBERT,4082,798,797,83,1,0.18,C,0.8243508084272415,0.9912280701754386,True,1.0,1.0,True,False,False,,,0.9630083292503675,0.9987468671679198,True,False,False,,0.0,0.8243508084272415,0.9912280701754386,True,False,False,,0
20_Täschneretal__2023__training_21_seed1593_LR_SBERT_complete_results_key1.csv,LR_SBERT,4082,798,797,85,1,0.16,C,0.7672709456148946,0.9887218045112782,True,1.0,1.0,True,False,False,,,0.9647231749142577,0.9987468671679198,True,False,False,,0.0,0.7672709456148946,0.9887218045112782,True,False,False,,0
20_Täschneretal__2023__training_22_seed9009_LR_SBERT_complete_results_key1.csv,LR_SBERT,4082,798,797,82,1,0.19,C,0.82312591866732,0.9912280701754386,True,1.0,1.0,True,False,False,,,0.9627633512983832,0.9987468671679198,True,False,False,,0.0,0.82312591866732,0.9912280701754386,True,False,False,,0
